name;given name;family name;sex or gender;date of birth;electoral district;parliamentary term;parliamentary group;represents
François Hollande;Nicolas;Hollande;male;1954-08-12;France;5;Progressive Alliance of Socialists and Democrats;Socialist Party
Nicolas Sarkozy;Stéphane;Sarkozy;male;1955-01-28;France;5;European People's Party group;Rally for the Republic
Giorgio Napolitano;Giorgio;Napolitano;male;1925-06-29;Southern Italy;3;European United Left;
Giorgio Napolitano;Giorgio;Napolitano;male;1925-06-29;Southern Italy;5;Progressive Alliance of Socialists and Democrats;Democratic Left
Giorgio Napolitano;Giorgio;Napolitano;male;1925-06-29;Italy;3;Progressive Alliance of Socialists and Democrats;Democratic Left
Jacques Chirac;René;Chirac;male;1932-11-29;France;1;European Progressive Democrats;Rally for the Republic
Valéry Giscard d'Estaing;Georges;Giscard d'Estaing;male;1926-02-02;France;3;European People's Party group;Union for French Democracy
Willy Brandt;Willy;Brandt;male;1913-12-18;list of results of European elections in Germany;1;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Marit Paulsen;Eli;Andersson;female;1939-11-24;Sweden;8;Group of the Alliance of Liberals and Democrats for Europe;Liberals
Marit Paulsen;Eli;Andersson;female;1939-11-24;Sweden;7;Group of the Alliance of Liberals and Democrats for Europe;Liberals
Marit Paulsen;Eli;Andersson;female;1939-11-24;Sweden;5;European Liberal Democrat and Reform Party Group;Liberals
Britta Thomsen;Britta;Thomsen;female;1954-01-23;Denmark;7;Progressive Alliance of Socialists and Democrats;Social Democrats
Britta Thomsen;Britta;Thomsen;female;1954-01-23;Denmark;6;Progressive Alliance of Socialists and Democrats;Social Democrats
Pietro Mennea;Paolo;Mennea;male;1952-06-28;Italy;5;Non-Inscrits;Forza Italia
José Bové;José;Bové;male;1953-06-11;South-West France;8;The Greens–European Free Alliance;The Ecologists – Europe Écologie Les Verts
José Bové;José;Bové;male;1953-06-11;South-West France;7;The Greens–European Free Alliance;Ecology Generation
Jean-Luc Mélenchon;Pierre;Mélenchon;male;1951-09-19;South-West France;7;European United Left–Nordic Green Left;
Jean-Luc Mélenchon;Pierre;Mélenchon;male;1951-09-19;South-West France;8;European United Left–Nordic Green Left;Left Front (France)
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;South-East France;8;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;South-East France;7;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;South-East France;6;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;France;5;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;France;4;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;France;3;Non-Inscrits;Front national
Jean-Marie Le Pen;Jean-Marie;Le Pen;male;1928-06-20;France;2;Non-Inscrits;Front national
Caroline Lucas;Caroline;Lucas;female;1960-12-01;South East England;7;The Greens–European Free Alliance;Green Party of England and Wales
Caroline Lucas;Caroline;Lucas;female;1960-12-01;South East England;6;The Greens–European Free Alliance;Green Party of England and Wales
Caroline Lucas;Caroline;Lucas;female;1960-12-01;South East England;5;The Greens–European Free Alliance;Green Party of England and Wales
Michael Spindelegger;Michael;Spindelegger;male;1959-12-21;Austria;4;European People's Party group;Austrian People's Party
Silvio Berlusconi;Silvio;Berlusconi;male;1936-09-29;North-West Italy;5;European People's Party group;Forza Italia
Silvio Berlusconi;Silvio;Berlusconi;male;1936-09-29;North-West Italy;9;European People's Party group;Forza Italia
Małgorzata Handzlik;Małgorzata;Handzlik;female;1965-01-01;Poland;7;European People's Party group;Civic Platform
Małgorzata Handzlik;Małgorzata;Handzlik;female;1965-01-01;Silesian;6;European People's Party group;Civic Platform
Cem Özdemir;Cem;Özdemir;male;1965-12-21;list of results of European elections in Germany;6;The Greens–European Free Alliance;Alliance '90/The Greens
Kris Peeters;Kris;Peeters;male;1962-05-18;Dutch-speaking electoral college;9;European People's Party group;Christian Democratic and Flemish
Marine Le Pen;Marine;Le Pen;female;1968-08-05;;8;Non-Inscrits;National Rally
Marine Le Pen;Marine;Le Pen;female;1968-08-05;;6;;National Rally
Marine Le Pen;Marine;Le Pen;female;1968-08-05;;7;Non-Inscrits;National Rally
Alain Krivine;Alain;Krivine;male;1941-07-10;France;5;European United Left–Nordic Green Left;Revolutionary Communist League
Arlette Laguiller;Arlette;Laguiller;female;1940-03-18;France;5;European United Left–Nordic Green Left;Lutte Ouvrière
François Bayrou;Jean;Bayrou;male;1951-05-25;France;5;European People's Party group;Union for French Democracy
Guy Verhofstadt;Guy;Verhofstadt;male;1953-04-11;Dutch-speaking electoral college;7;Group of the Alliance of Liberals and Democrats for Europe;Open Flemish Liberals and Democrats
Guy Verhofstadt;Guy;Verhofstadt;male;1953-04-11;Dutch-speaking electoral college;8;Group of the Alliance of Liberals and Democrats for Europe;Open Flemish Liberals and Democrats
Guy Verhofstadt;Guy;Verhofstadt;male;1953-04-11;Dutch-speaking electoral college;9;Renew Europe;Open Flemish Liberals and Democrats
Leo Tindemans;Leo;Tindemans;male;1922-01-01;Dutch-speaking electoral college;4;European People's Party group;Christian Democratic and Flemish
Leo Tindemans;Leo;Tindemans;male;1922-01-01;Dutch-speaking electoral college;3;European People's Party group;Christian Democratic and Flemish
Leo Tindemans;Leo;Tindemans;male;1922-01-01;Dutch-speaking electoral college;1;European People's Party group;Christian Democratic and Flemish
Elio Di Rupo;Elio;Di Rupo;male;1951-07-18;French-speaking electoral college;3;Progressive Alliance of Socialists and Democrats;Socialist Party
Elio Di Rupo;Elio;Di Rupo;male;1951-07-18;French-speaking electoral college;10;Progressive Alliance of Socialists and Democrats;Socialist Party
Jean-Luc Dehaene;Jean-Luc;Dehaene;male;1940-08-07;Dutch-speaking electoral college;7;European People's Party group;Christian Democratic and Flemish
Jean-Luc Dehaene;Jean-Luc;Dehaene;male;1940-08-07;Dutch-speaking electoral college;6;European People's Party group;Christian Democratic and Flemish
Kathleen Van Brempt;Kathleen;Van Brempt;female;1969-11-18;Dutch-speaking electoral college;5;Party of European Socialists;Vooruit
Kathleen Van Brempt;Kathleen;Van Brempt;female;1969-11-18;Dutch-speaking electoral college;7;Progressive Alliance of Socialists and Democrats;Vooruit
Kathleen Van Brempt;Kathleen;Van Brempt;female;1969-11-18;Dutch-speaking electoral college;8;Progressive Alliance of Socialists and Democrats;Vooruit
Kathleen Van Brempt;Kathleen;Van Brempt;female;1969-11-18;Dutch-speaking electoral college;9;Progressive Alliance of Socialists and Democrats;Vooruit
Kathleen Van Brempt;Kathleen;Van Brempt;female;1969-11-18;Dutch-speaking electoral college;10;Progressive Alliance of Socialists and Democrats;Vooruit
Martin Schulz;Martin;Schulz;male;1955-12-20;list of results of European elections in Germany;8;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Martin Schulz;Martin;Schulz;male;1955-12-20;list of results of European elections in Germany;7;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Martin Schulz;Martin;Schulz;male;1955-12-20;list of results of European elections in Germany;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Martin Schulz;Martin;Schulz;male;1955-12-20;list of results of European elections in Germany;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Martin Schulz;Martin;Schulz;male;1955-12-20;list of results of European elections in Germany;4;Progressive Alliance of Socialists and Democrats;Social Democratic Party of Germany
Jagna Marczułajtis;Jagna;Walczak;female;1978-12-15;Poland;10;European People's Party group;Civic Platform
Rachida Dati;Rachida;Dati;female;1965-11-27;Île-de-France;8;European People's Party group;Union for a Popular Movement
Rachida Dati;Rachida;Dati;female;1965-11-27;Île-de-France;7;European People's Party group;Union for a Popular Movement
Reinhard Bütikofer;Hans;Bütikofer;male;1953-01-26;Germany;8;The Greens–European Free Alliance;Alliance '90/The Greens
Reinhard Bütikofer;Hans;Bütikofer;male;1953-01-26;Germany;7;The Greens–European Free Alliance;Alliance '90/The Greens
Reinhard Bütikofer;Hans;Bütikofer;male;1953-01-26;Germany;9;The Greens–European Free Alliance;Alliance '90/The Greens
Frans Timmermans;Maria;Timmermans;male;1961-05-06;Netherlands;9;Progressive Alliance of Socialists and Democrats;Labour Party
Harlem Désir;;Désir;male;1959-11-25;Île-de-France;7;Progressive Alliance of Socialists and Democrats;Socialist Party
Harlem Désir;;Désir;male;1959-11-25;Île-de-France;6;Progressive Alliance of Socialists and Democrats;Socialist Party
Harlem Désir;;Désir;male;1959-11-25;France;5;Progressive Alliance of Socialists and Democrats;Socialist Party
Romana Jordan Cizelj;Romana;Jordan;female;1966-01-08;Slovenia;7;European People's Party group;Slovenian Democratic Party
Romana Jordan Cizelj;Romana;Jordan;female;1966-01-08;Slovenia;6;European People's Party group;Slovenian Democratic Party
Jacques Santer;Jacques;Santer;male;1937-05-18;Luxembourg constituency of the European Parliament;5;European People's Party group;Christian Social People's Party
Jacques Santer;Jacques;Santer;male;1937-05-18;Luxembourg constituency of the European Parliament;1;European People's Party group;Christian Social People's Party
Antonio Di Pietro;Antonio;Di Pietro;male;1950-10-02;Southern Italy;6;Group of the Alliance of Liberals and Democrats for Europe;Italy of Values
Antonio Di Pietro;Antonio;Di Pietro;male;1950-10-02;Italy;5;European Liberal Democrat and Reform Party Group;Italy of Values
Pier Luigi Bersani;Pier Luigi;Bersani;male;1951-09-29;North-West Italy;6;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Gianfranco Fini;Gianfranco;Fini;male;1952-01-03;Italy;5;Union for Europe of the Nations;National Alliance
Gianfranco Fini;Gianfranco;Fini;male;1952-01-03;Italy;4;Non-Inscrits;National Alliance
Gianfranco Fini;Gianfranco;Fini;male;1952-01-03;Italy;3;Non-Inscrits;Italian Social Movement - National Right
Massimo D'Alema;Massimo;D'Alema;male;1949-04-20;Southern Italy;6;Progressive Alliance of Socialists and Democrats;Democratic Party of the Left
Marco Pannella;Giacinto;Pannella;male;1930-05-02;North-West Italy;6;Group of the Alliance of Liberals and Democrats for Europe;Bonino List
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;5;Technical Group of Independents;Bonino List
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;4;European Radical Alliance;Bonino List
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;3;Non-Inscrits;Radical Party
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;5;Non-Inscrits;Bonino List
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;2;Non-Inscrits;Radical Party
Marco Pannella;Giacinto;Pannella;male;1930-05-02;Italy;1;Technical Group of Independents;Radical Party
Umberto Bossi;Umberto;Bossi;male;1941-09-19;North-East Italy;6;Union for Europe of the Nations;Lega Nord
Umberto Bossi;Umberto;Bossi;male;1941-09-19;North-East Italy;5;Union for Europe of the Nations;Lega Nord
Umberto Bossi;Umberto;Bossi;male;1941-09-19;North-East Italy;4;European Liberal Democrat and Reform Party Group;Lega Nord
Umberto Bossi;Umberto;Bossi;male;1941-09-19;North-East Italy;4;Non-Inscrits;Lega Nord
Emma Bonino;Emma;Bonino;female;1948-03-09;North-East Italy;6;Group of the Alliance of Liberals and Democrats for Europe;Bonino List
Emma Bonino;Emma;Bonino;female;1948-03-09;Italy;5;Non-Inscrits;Bonino List
Emma Bonino;Emma;Bonino;female;1948-03-09;Italy;2;Non-Inscrits;Radical Party
Emma Bonino;Emma;Bonino;female;1948-03-09;Italy;1;Technical Group of Independents;Radical Party
Bartosz Arłukowicz;Bartosz;Arłukowicz;male;1971-12-30;Lubusz and West Pomeranian;9;European People's Party group;Civic Platform
Bartosz Arłukowicz;Bartosz;Arłukowicz;male;1971-12-30;Poland;10;European People's Party group;Civic Platform
Leszek Miller;Cezary;Miller;male;1946-07-03;Poland;9;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Janina Ochojska;Maria;Okońska;female;1955-03-12;Poland;9;European People's Party group;independent politician
Marek Belka;Marek;Belka;male;1952-01-09;Poland;9;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Jerzy Buzek;Karol;Buzek;male;1940-07-03;Silesian;8;European People's Party group;Civic Platform
Jerzy Buzek;Karol;Buzek;male;1940-07-03;Poland;7;European People's Party group;Civic Platform
Jerzy Buzek;Karol;Buzek;male;1940-07-03;Silesian;6;European People's Party group;Civic Platform
Jerzy Buzek;Karol;Buzek;male;1940-07-03;Poland;9;European People's Party group;Civic Platform
Włodzimierz Cimoszewicz;Włodzimierz;Cimoszewicz;male;1950-09-13;Poland;9;Progressive Alliance of Socialists and Democrats;Democratic Left Alliance
Hans Modrow;Hans;Modrow;male;1928-01-01;list of results of European elections in Germany;5;European United Left–Nordic Green Left;Party of Democratic Socialism
Traian Băsescu;Traian;Băsescu;male;1951-01-01;Romania;9;European People's Party group;People's Movement Party
Toomas Hendrik Ilves;Hendrik;Ilves;male;1953-12-26;Estonia;6;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Toomas Hendrik Ilves;Hendrik;Ilves;male;1953-12-26;Estonia;5;Progressive Alliance of Socialists and Democrats;Social Democratic Party
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;7;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;6;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;5;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;4;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;3;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;2;European People's Party group;Christian Democratic Union
Hans-Gert Pöttering;Hans-Gert;Pöttering;male;1945-09-15;list of results of European elections in Germany;1;European People's Party group;Christian Democratic Union
Udo Voigt;Udo;Voigt;male;1952-04-14;list of results of European elections in Germany;8;Non-Inscrits;The Homeland
János Áder;János;;male;1959-05-09;Hungary;7;European People's Party group;Fidesz
Robert Fico;Robert;Fico;male;1964-09-15;Slovakia;5;Progressive Alliance of Socialists and Democrats;Direction – Social Democracy
Valdis Dombrovskis;Valdis;Dombrovskis;male;1971-08-05;Latvia;8;European People's Party group;Unity
